Title,Price (INR),Description,Transaction,Furnishing,Bathroom,Price per Sqft,Total Area,Covered_parking,Open_parking,Possession_Status,BHK,Price_INR_Numeric
3 BHK Builder Floor for Sale in Bachupally Hyderabad,1 Cr,"Discover the perfect blend of comfort and style in this 3 BHK builder floor located in the prestigious Hill County, Hyderabad. With spacious interiors designed for modern living, this residence offers a serene escape from the city's hustle and bustle. ::::::::::::Property Specifications::::::::::::This unfurnished 3 BHK builder floor in Hill County, Hyderabad, offers a spacious carpet area of 1,060 sqft, spread across the first floor of a five-story building. The layout includes three well-appointed bedrooms, featuring two attached bathrooms and one common bathroom, all equipped with western-style fixtures and geyser points. The living cum dining area provides an inviting space for relaxation and entertaining, complemented by a balcony that overlooks lush greenery.::::::::::::The kitchen is designed for practicality, featuring a normal setup with a convenient utility area attached, along with a piped gas connection for cooking ease. Vitrified tiles throughout the floor enhance the modern aesthetic while ensuring easy maintenance. This property is perfect for those seeking comfort and functionality in a serene environment.::::::::::::Facilities::::::::::::Additional features of this property include covered parking for your convenience, 24-hour water supply, and power backup for uninterrupted living. Security is a priority, with a dedicated guard on duty and CCTV surveillance installed throughout the premises. The building also offers a lift for easy access to all floors.::::::::::::Locality::::::::::::Conveniently located beside Keshava Reddy School, this property is within 1 km of various schools, hospitals, malls, and supermarkets, ensuring all essential amenities are easily accessible. Public transport options, including buses and auto-rickshaws, are readily available, while banks and ATMs are just 500 meters away. For further travel, the railway station is approximately 5 to 6 km from the property, and Miyapur Metro Station is nearby, providing excellent connectivity to the rest of the city.",2,3,3.0,0.01716,0.07066666666666667,2,0,2,3.0,10000000.0
"6 BHK  House for Sale in Bahadurpura West, Bahadurpura, NH 7 Hyderabad",1.40 Cr,"Residential House is made upto 2 floors. The place is very airy & spacious making the stay a very memorable one. It can easily be cutomized as per the needs of the people living here. All in all a great deal, please contact immediately for more details. Modern construction is done in this newly built Residential House.",2,3,4.0,0.014554666666666667,0.165,1,0,2,6.0,14000000.0
2 BHK Apartment for Sale in Gachibowli Hyderabad,1 Cr,"Welcome to Your Perfect Home This exquisite fully furnished 2 BHK flat is nestled in the lively and dynamic neighborhood of Gachibowli, Hyderabad, offering you a comfortable and stylish living experience.Property specificationsWith a generous carpet area of 1200 sq ft, this West-facing property is designed to offer both comfort and style, making it perfect for modern living. Situated on the first floor of a well-maintained five-story building, this flat ensures easy accessibility while providing a sense of community. Step inside to find an inviting layout featuring marble flooring throughout, enhancing the elegance of your living space. This West-facing property is designed to adhere to Vaastu principles, ensuring a harmonious and positive living environment.The flat comprises two spacious bedrooms, each thoughtfully designed for relaxation, along with two well-appointed bathrooms. Enjoy the fresh air and views from not one, but two balconies, which extend the living space outdoors. The generous living and dining area is perfect for entertaining guests or enjoying cozy family dinners. Additionally, a Puja room offers a tranquil space for spiritual practices, while the modular kitchen comes equipped with a piped gas connection and an attached utility area for added convenience.FacilitiesThis property is equipped with essential amenities to support your lifestyle. Youll have access to covered parking, ensuring your vehicle is secure. Enjoy 24-hour water supply, along with 100 power backup to keep your home running smoothly at all times. Your safety is a priority, with a dedicated security guard on duty and CCTVs installed throughout the premises. The building also features a lift for easy access to all floors.LocalityLocated in a bustling area, this flat is surrounded by a wide array of amenities. Reputable schools and hospitals are nearby, making it an ideal choice for families. Shopping malls and supermarkets are within easy reach, providing all your daily essentials. Public transport options, including buses and autos, are readily available, and banks and ATMs are conveniently located in the vicinity.Dont miss out on this fantastic opportunity to own a beautifully furnished 2 BHK flat in Gachibowli. Schedule a visit today and experience the perfect blend of comfort, convenience, and modern living",2,3,2.0,0.020512000000000002,0.08,0,0,2,2.0,10000000.0
3 BHK Villa for Sale in Kongara Kalan Hyderabad,1.50 Cr,Anvaya villas 200 to 400 yards villas launching offer 30 acers gated community,2,3,3.0,0.013792,0.18666666666666668,2,0,2,3.0,15000000.0
3 BHK Apartment for Sale in Ameenpur Hyderabad,1.23 Cr,East Facing Flats 2BHK  3BHK at Ameenpur Hyderabad,0,2,3.0,0.015997333333333336,0.12000000000000001,2,0,0,3.0,12300000.0
3 BHK Villa for Sale in Jalpally Hyderabad,1.40 Cr,0,2,2,3.0,0.027653333333333335,0.09000000000000001,0,0,2,3.0,14000000.0
3 BHK Builder Floor for Sale in Yapral Hyderabad,1.25 Cr,0,2,2,3.0,0.020202666666666667,0.11,0,0,2,3.0,12500000.0
"3 BHK Apartment for Sale in Hafeezpet, NH 9 Hyderabad",1.23 Cr,0,2,3,2.0,0.023200000000000002,0.095,0,0,0,3.0,12300000.0
"2 BHK Apartment for Sale in RamNaresh Nagar, Hyder Nagar Hyderabad",1.09 Cr,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.,2,3,2.0,0.02261866666666667,0.08566666666666667,1,0,2,2.0,10900000.0
3 BHK Apartment for Sale in Nagole Hyderabad,1.10 Cr,0,2,2,3.0,0.01942666666666667,0.10066666666666667,0,0,2,3.0,11000000.0
3 BHK  House for Sale in BN Reddy Nagar Hyderabad,1.15 Cr,0,2,3,4.0,0.024533333333333334,0.08333333333333334,0,0,2,3.0,11500000.0
3 BHK  House for Sale in Balanagar Hyderabad,1.40 Cr,0,2,0,3.0,0.020741333333333334,0.12000000000000001,0,0,2,3.0,14000000.0
"Land for Sale in Malkapur, NH 9 Hyderabad",1.50 Cr,IT PARK WITHIN 2 KM AND HIGHWAY ROAD EXTENSION FROM HYDERABAD TO VIJAYAWADA 6WAY LINE EXTENSION VERY SOON,2,1,0.0,0.008888,0.0,0,0,2,0.0,15000000.0
3 BHK Apartment for Sale in Masab Tank Hyderabad,1.30 Cr,0,2,3,3.0,0.021010666666666667,0.11,0,0,2,3.0,13000000.0
3 BHK Villa for Sale in Dammaiguda Hyderabad,1 Cr,0,2,3,2.0,0.016592000000000003,0.10746666666666667,0,0,2,3.0,10000000.0
Plot/Land for Sale in Maheshwaram Hyderabad,1 Cr,"Nestled in the thriving corridor of Maheshwaram, Myakala & Akshita's Visionary City spans 90 acres of premium villa plots, purposefully designed for future-ready living and high-growth investment potential. Strategically located with seamless connectivity to the Outer Ring Road and Hyderabad International Airport, this coveted address is just minutes away from the city's rapidly advancing tech hubs—Fab City, E-City, Future City, and EMC City.",0,1,0.0,0.0074080000000000005,0.0,0,0,1,0.0,10000000.0
4 BHK Villa for Sale in Gundlapochampalli Hyderabad,1.38 Cr,0,0,0,3.0,0.015333333333333334,0.13333333333333333,0,0,1,4.0,13799999.999999998
Office Space for Sale in Lakeview bandamkomma Hyderabad,1.10 Cr,0,2,1,1.0,0.01777866666666667,0.10766666666666667,0,0,2,0.0,11000000.0
2 BHK  House for Sale in Adibatla Hyderabad,1.50 Cr,"Property is centrally located within 10 minutes drive from Suchitra junction, Kompally Junction, Alwal Junction  Bolarum Junction. 100 vasthu compliance. Easy accessible to various educational institutions.",2,0,2.0,0.02353066666666667,0.11333333333333334,1,0,2,2.0,15000000.0
3 BHK Apartment for Sale in Nanakramguda Hyderabad,1.50 Cr,property available for sale is in good location,2,0,3.0,0.03333333333333333,0.08,0,0,2,3.0,15000000.0
Shop for Sale in Shapur Nagar Hyderabad,1.50 Cr,"Unlock a prime investment opportunity with this Commercial Shop available for sale in the bustling area of Jeedimetla, Hyderabad. Whether youre looking to establish or expand your business or make a lucrative investment, this shop provides the ideal platform. Property SpecificationsThe property price includes Shop 340 sq ft alongwith Business  Inventory as well as a fully furnished commercial shop, spanning 340 square feet, situated on the ground floor of a 4-story building in the vibrant locality of Jeedimetla, Hyderabad. What sets this opportunity apart is that it includes a well-established lubricant business with 23 years of history, making it an attractive proposition for those looking for a turnkey operation. The shop is meticulously maintained and boasts stone flooring and a common washroom.Strategically positioned to face the main road, this shop is a prominent presence for attracting customers. Its Vaastu compliant, ensuring a positive environment, and is flooded with natural light and ventilation. This shop is suitable for various commercial ventures and provides an ideal space for entrepreneurs.Facilities The property offers essential facilities such as open parking, 24-hour water supply, 100 power backup, the presence of a security guard, and strategically installed CCTV cameras for added security.Locality The shops locality is marked by the presence of Righto Bazaar, which serves as a prominent landmark. Healthcare needs are readily met with hospitals within a 1-kilometre radius, and you can conveniently fulfill your shopping requirements at nearby malls and supermarkets, both within a 1-kilometer distance.Public transport, including buses and autos, is easily available, simplifying daily commutes. Banks and ATMs in close proximity cater to financial needs, and the railway station is conveniently located nearby, enhancing connectivity and accessibility for your business operations.",2,1,0.0,0.117648,0.02266666666666667,0,0,2,0.0,15000000.0
3 BHK Apartment for Sale in Nagole Hyderabad,1 Cr,"North East facing with swimming pool view from.balcony, Gated community with Gym, m3 multipurpose halls, Yoga room, Amphitheater theater, Children play area, Super market.  Well connected to highway, Nagole metro 3Km LB nagar metro 4 KM, inner ring road 2 KM, ORR 8 KM project on Radial road to ORR, Good hospitals schools supermarkets  and for children sports center, music training centeres, with power backup club house",2,0,3.0,0.017661333333333334,0.10066666666666667,2,0,2,3.0,10000000.0
9 BHK  House for Sale in Moula Ali Hyderabad,1.30 Cr,0,2,3,6.0,0.006173333333333334,0.3744,0,0,2,9.0,13000000.0
2 BHK  House for Sale in Badangpet Hyderabad,1.04 Cr,0,2,3,2.0,0.018488,0.06666666666666667,0,0,2,2.0,10400000.0
3 BHK  House for Sale in Kazipally Medak Hyderabad,1.20 Cr,A residential house is available for sale. It is a good location. Please contact for more details.,2,3,3.0,0.016496,0.12933333333333333,0,0,2,3.0,12000000.0
"2 BHK Apartment for Sale in Hafeezpet, NH 9 Hyderabad",1.06 Cr,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.,2,3,2.0,0.022794666666666668,0.049800000000000004,0,0,2,2.0,10600000.0
Plot/Land for Sale in Mankhal Hyderabad,1.50 Cr,"immediatly constrution area, all facilities are available schools, hospitals , shops, function halls, corporate conpaniesx high rise apartments, etc.",2,1,0.0,0.016645333333333335,0.0,0,0,2,0.0,15000000.0
"2 BHK  House for Sale in Machabollaram, Medchal Road Hyderabad",1.50 Cr,"This spacious Residential House has total 1 floors, makes it very suitable for a family with variety of living needs in mind. The space is airy, is well located and can be easily customized as per the needs.",2,3,2.0,0.025,0.10666666666666667,0,0,2,2.0,15000000.0
5 BHK  House for Sale in Hakimpet Hyderabad,1.30 Cr,0,2,3,4.0,0.030816000000000003,0.075,0,0,2,5.0,13000000.0
Office Space for Sale in Secunderabad Hyderabad,1.10 Cr,Undivided area UDS 65.0 Sq.Yards out of 590.27 Sq.YardsBuiltup area 1425 sft  including Common areaCarpet area 1000 sftOne car parking area 72 sft Facing North,2,1,1.0,0.020584,0.06666666666666667,1,0,2,0.0,11000000.0
"2 BHK  House for Sale in Vanasthalipuram, NH 9 Hyderabad",1.26 Cr,0,2,3,1.0,0.024888,0.09000000000000001,0,0,2,2.0,12600000.0
4 BHK  House for Sale in Balapur Hyderabad,1.30 Cr,0,2,2,4.0,0.02568,0.09000000000000001,0,0,2,4.0,13000000.0
House for Sale in Amberpet Hyderabad,1 Cr,"A 4 storeyed Residential House is located in Amberpet, Hyderabad. Great investment for family purpose as the space is airy and has friendly neighbourhood. Major key facilities are located nearby. The Residential House construction is more than 5 to 10 years old.",2,2,9.0,0.004749333333333334,0.041600000000000005,0,0,2,0.0,10000000.0
3 BHK Builder Floor for Sale in Rai Durg Hyderabad,1.25 Cr,0,2,0,2.0,0.019493333333333335,0.114,0,0,2,3.0,12500000.0
4 BHK Apartment for Sale in Diamond Hills Colony Hyderabad,1.08 Cr,"Experience the best of both worlds  serene living in a prestigious community with all the urban conveniences at your doorstep. Dont miss this exceptional opportunity to own this 4 BHK Flat available for sale in Diamond Hills, which is one of Hyderabads most sought-after locales. Make this dream home yours todayNestled in a prestigious community and offering modern amenities, this under-construction property will be ready for possession within a month, providing you with the perfect work-life balance. Property Specifications Constructed with the best materials on the spacious carpet area of 1600 sq ft, this semi-furnished flat is located on the 2nd floor of a 6-story building. Featuring well-ventilated and naturally bright rooms to reside in, this beautiful flat comprises four generously sized bedrooms, each equipped with wardrobes where you can organize your belongings. Along with 4 western-style attached bathrooms, there is also a living cum dining area and 2 pretty balconies that render a clear view of the road and the other building.  The modular kitchen is a culinary delight, complete with a chimney, cabinets, a granite platform, and a stainless steel sink. An attached utility area enhances functionality. All the rooms have basic electrical fixtures like lights, and fans, while the vitrified tiles cover the flooring.Facilities This property is equipped with a range of top-notch facilities to ensure a comfortable and secure living experience. Enjoy the convenience of covered parking and 24-hour water supply from both borewell and corporation sources. The common areas are backed by 100 power backup, ensuring uninterrupted services. The safety of residents is a priority, with a dedicated security guard, CCTV surveillance, and a lift for easy access to all floors.Locality Strategically located close to the Financial District and Hitech City, this property offers unparalleled convenience and connectivity. Renowned schools, hospitals, malls, and supermarkets are all within a 1 km radius, making daily errands effortless. Public transport options, including cabs, taxis, buses, and autos, are readily available, ensuring smooth commuting. Essential services such as banks and ATM centers are conveniently located just 500 meters away, further enhancing the ease of living.",0,2,4.0,0.016,0.11333333333333334,1,0,1,4.0,10800000.0
2 BHK Apartment for Sale in Bachupally Hyderabad,1.17 Cr,"Clubhouse equipped with Gym, indoor games, Library, co. It has covered area of 1388 sqft, it is a good location property. Please contact for more details.",2,0,2.0,0.022477333333333335,0.09253333333333334,0,0,2,2.0,11700000.0
3 BHK Apartment for Sale in Bachupally Hyderabad,1.30 Cr,3 bathrooms for 3 bedrooms. Absolute view from the balcony. Guarantee that a new project will not come and block the balcony view.,0,3,3.0,0.021333333333333336,0.07246666666666667,0,0,1,3.0,13000000.0
Plot/Land for Sale in Sahebnagar Kalan Hyderabad,1.03 Cr,"PLOT FOR SALEPlot no 15265 Sq.yds  40 X 60 Dimension39,000 per sq.ydPadmavathi nagar colony, Vanasthalipuram, HyderabadFor More Details Contact   9666 859 159,  836 706 2312",2,1,0.0,0.011554666666666668,0.0,0,0,2,0.0,10300000.0
4 BHK  House for Sale in Nagaram Hyderabad,1.28 Cr,0,2,3,4.0,0.011493333333333335,0.17333333333333334,0,0,2,4.0,12800000.0
6 BHK  House for Sale in AG Colony Erragadda Hyderabad,1.40 Cr,rental income - upto 40k per month,2,3,5.0,0.029629333333333334,0.084,0,0,2,6.0,14000000.0
Plot/Land for Sale in Kandukur Hyderabad,1.40 Cr,"Embark on the journey of building your dream home in the serene surroundings of Silpa Raghava Botanica, Kandukur, Hyderabad. This Residential Plot for Sale offers an ideal canvas for creating the perfect abode. With a strategic location and promising potential, this plot invites you to explore the possibilities of comfortable and peaceful living.::::::::::::Property Specifications and Facilities::::::::::::Spanning across a plot area of 500 sq yards, this residential plot offers limitless potential for crafting your ideal living space. Situated in a gated community, this plot comes with no restrictions on construction, which is an added advantage.::::::::::::East-facing, this corner plot enjoys the advantage of having two open sides and faces wide roads of 60ft and 40ft. The main road is conveniently located within 500 meters, which further enhances accessibility.::::::::::::Surrounded by nearby constructions and best suited for residential use, the plot boasts essential facilities including water, electricity, and drainage systems, ensuring a comfortable living environment.::::::::::::Locality::::::::::::Located near the Amazon Data Center, this plot enjoys proximity to key landmarks such as 3 international schools within 5-6 km, hospitals within 7-8 km, and a local market within reach. Banks/ATMs are also conveniently located within 2-3 km.::::::::::::Public transport options, including buses and autos, are easily available, facilitating convenient commutes. Additionally, an upcoming metro station is slated to be located just 4-5 km away, further enhancing connectivity.",0,1,0.0,0.008296000000000001,0.0,0,0,1,0.0,14000000.0
4 BHK Villa for Sale in BHAVNA S VENKY ESTATES Hyderabad,1.50 Cr,0,2,3,2.0,0.029629333333333334,0.09000000000000001,0,0,2,4.0,15000000.0
3 BHK Apartment for Sale in Attapur Hyderabad,1.20 Cr,"Semi furnished flat for SALE in a gated apartment in a centralized location close to Airport, HI Tech city and covered parking for car and 2 wheelers having 3 bedrooms, 3 bathrooms, 2 balcony, Park, Play Area, club house, wardrobes, 1 car parking, 2 lift, onsite security",2,3,3.0,0.019949333333333336,0.10666666666666667,0,0,2,3.0,12000000.0
"3 BHK Apartment for Sale in Boduppal, NH 2 2 Hyderabad",1.10 Cr,"Gated society, corner flat, free space before main door, all types of shops available nearby like ratnadeep, gyms, schools, markets, temples etc",2,3,3.0,0.017832,0.10966666666666668,0,0,2,3.0,11000000.0
3 BHK Apartment for Sale in Suchitra Road Hyderabad,1.10 Cr,"Located in prime location, East facing corner bit flat, full ventilation and guarantee no obstruction. Please contact for more details.",2,3,3.0,0.016858666666666668,0.116,0,0,2,3.0,11000000.0
3 BHK Apartment for Sale in Gopanpally Hyderabad,1.34 Cr,"We bought this apartment after a lot of thought and care. The flat is on the 5th floor, westFacing. The sun rises from the balcony side where there are no highRise buildings to block the air or light, and the hall gets the first rays. The master bedroom remains cool throughout the year. The kitchen is equipped with modular fittings and the house is semi Furnished and well maintained. We hope you make a visit.",2,2,3.0,0.020304000000000003,0.11733333333333335,1,0,2,3.0,13400000.0
2 BHK Apartment for Sale in Kondapur Hyderabad,1 Cr,0,2,3,2.0,0.017896000000000002,0.09933333333333334,0,0,2,2.0,10000000.0
3 BHK Apartment for Sale in Kondapur Hyderabad,1.45 Cr,0,2,3,3.0,0.019333333333333334,0.13333333333333333,0,0,2,3.0,14500000.0
Office Space for Sale in Bachupally Hyderabad,1.30 Cr,"Here is a fantastic opportunity to own office space for sale in Bachupally, Hyderabad, offering a covered area of 1300 sq-ft. Situated in a prime and well-connected location, this property promises excellent potential for businesses seeking a convenient and accessible workspace in a bustling commercial area.Property SpecificationsThis spacious and strategically located office space covers a carpet area of 947 sqft and is situated on the ground floor of a well-constructed 4-floor building. The open hall layout offers great flexibility, making it ideal for a wide range of business purposes. Whether you're planning to establish a call center, BPO, coaching center, private consulting, doctor’s clinic, IT/ITES setup, or even a boutique or restaurant, this property can be tailored to your needs. The space is also vaastu compliant and east-facing, ensuring a positive and conducive working environment.The property features two washrooms, providing convenience for employees and clients alike. The flooring is done with vitrified tiles, ensuring both durability and easy maintenance. With large windows that allow for ample natural light and ventilation, this space feels bright and airy, creating a comfortable atmosphere for both work and creativity. The office is also main road-facing, offering great visibility and easy access for clients and employees.Facilities In terms of facilities, the office space comes with both covered and open parking, ensuring enough parking for both employees and visitors. The property also guarantees 24/7 water supply from both borewell and corporation sources, and a 100% power backup facility ensures uninterrupted work. A dedicated security guard and CCTV surveillance provide added safety and peace of mind.Locality Locality-wise, this property enjoys great connectivity, being situated near the prominent Bachupally Circle. It is surrounded by essential amenities, with hospitals located within 300 meters, malls and supermarkets within a 3 km radius, while banks and ATMs nearby. The area also offers easy access to public transport, with buses and autos readily available. The Miyapur Railway and metro stations are 6.8 km away, enhancing the property's accessibility.",0,1,2.0,0.02666666666666667,0.06313333333333333,1,0,1,0.0,13000000.0
"3 BHK Apartment for Sale in Saroornagar, NH 9 Hyderabad",1.28 Cr,0,2,2,3.0,0.019448,0.1,1,0,2,3.0,12800000.0
3 BHK Apartment for Sale in Durga Nagar Colony Karmanghat Hyderabad,1.36 Cr,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.,2,2,2.0,0.018133333333333335,0.13333333333333333,0,0,2,3.0,13600000.000000002
"Plot/Land for Sale in Bolarum, Medchal Road Hyderabad",1.22 Cr,0,2,1,0.0,0.01985066666666667,0.0,0,0,2,0.0,12200000.0
3 BHK Apartment for Sale in Gowdavalli Hyderabad,1.40 Cr,0,2,0,3.0,0.0,0.116,1,0,2,3.0,14000000.0
3 BHK Apartment for Sale in Nagole Hyderabad,1.05 Cr,This is a west facing with independent corridor. Balcony has a beautiful view of swimming pool.,2,2,3.0,0.0,0.1,1,0,2,3.0,10500000.0
3 BHK  House for Sale in Bandlaguda Colony Hyderabad,1.40 Cr,"A residential house is available for sale. It covered area of 2800 sq-ft, it is a good location. Please contact for more details.",2,3,3.0,0.013333333333333334,0.1632,0,0,2,3.0,14000000.0
3 BHK Apartment for Sale in Chanda Nagar Hyderabad,1.50 Cr,0,2,0,3.0,0.024845333333333334,0.10733333333333334,0,0,2,3.0,15000000.0
3 BHK Apartment for Sale in AS Rao Nagar Hyderabad,1.10 Cr,"Experience luxury living at its finest with our exquisite 3 BHK Flat for sale in the heart of AS Rao Nagar, of Hyderabad which is renowned for its vibrant community and excellent infrastructure, ensures a lifestyle of convenience and comfort. Enjoy the proximity to schools, shopping centers, and recreational hubs, creating the perfect environment to dwell in with your loved ones. Property Specifications and Facilities This freehold property aged less than 5 years old, is a testament to elegance and comfort. Meticulously designed on the super built-up area of 1700 sq ft, this flat is completely Vastu-Shastra inspired where you can experience positivity, happiness, and abundance. Located on the 1st floor of a 5-story building, this east-facing flat furnished with elegance is adorned with vitrified tiles flooring that creates visual delight. Ready to occupy, this flat encompasses 3 bedrooms and 3 bathrooms of which 2 western bathrooms are attached and the Indian bathroom is available for common use. In addition, this flat brings you a separate living and dining area, along with a dedicated pooja unit, creating a perfect balance between functionality and aesthetics. An unhampered view of the road and the lush greenery are visible from the 2 airy balconies of this flat where one balcony is linked to the bedroom and the other balcony opens to the common area. Installed with a chimney, a polished granite platform, a stainless steel sink, and a piped gas connection, is the modular kitchen which also has a utility attached. For added convenience, this piece of land is equipped with a plethora of modern facilities such as a covered parking space for your vehicles, 24-hour water supply, 100 power backup, a security guard, CCTV camera surveillance, and a dedicated lift for easy access to your haven on the 1st floor.Locality Situated near Kapra Lake and Katta Maisamma, this residence enjoys proximity to the metro station which is conveniently located within 5 km, and public transport options such as buses and autos are readily available, ensuring seamless connectivity. Within the sensible limits of this property are some of the major civic conveniences such as well-known schools, famous hospitals, clinics, prestigious shopping malls, supermarkets, and many more leading banks, and ATM centers.",2,2,3.0,0.017256,0.1,0,0,2,3.0,11000000.0
3 BHK  House for Sale in Prashanth Nagar Langar Houz Hyderabad,1.20 Cr,in prashanthnagar phase 2   near golconda,2,3,3.0,0.16,0.11760000000000001,0,0,2,3.0,12000000.0
3 BHK  House for Sale in Rajendranagar Mandal Hyderabad,1.50 Cr,A residential house is available for sale. It is a good location property. Please contact for more details.,2,2,3.0,0.03152,0.08460000000000001,0,0,2,3.0,15000000.0
2 BHK Apartment for Sale in Moti Nagar Erragadda Hyderabad,1.35 Cr,"Multistorey apartment is available for sale. It has covered area 1177 sq-ft, it is 2 BHK apartment. Please contact for more details.",2,0,2.0,0.030586666666666668,0.07846666666666667,1,0,2,2.0,13500000.0
"2 BHK Apartment for Sale in Miyapur, NH 9 Hyderabad",1.20 Cr,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.,2,3,2.0,0.0,0.08866666666666667,0,0,2,2.0,12000000.0
2 BHK Apartment for Sale in Hitech City Hyderabad,1.44 Cr,"Multistorey apartment is available for sale. It covered area of 1200 sq-ft, it is a good location property. Please contact for more details.",2,0,2.0,0.032,0.06666666666666667,1,0,2,2.0,14400000.0
3 BHK Apartment for Sale in Patancheruvu Hyderabad,1.45 Cr,0,2,3,3.0,0.02439466666666667,0.0682,0,0,2,3.0,14500000.0
3 BHK Apartment for Sale in Sri Ram Nagar Kondapur Hyderabad,1.20 Cr,"Multistorey apartment is available for sale. It has carpet area of 1570 sq-ft, it is a good location property. Please contact for more details.",2,2,3.0,0.0,0.10466666666666667,0,0,2,3.0,12000000.0
2 BHK Apartment for Sale in Bachupally Hyderabad,1.05 Cr,"Multistorey apartment 2.5 BHK is available for sale. It is in one of the prime location properties. All the major hospitals, malls, schools, and colleges are in and around. Only interested customers can contact for more details. Its a primium flat on 27th floor.",2,3,2.0,0.025224,0.07400000000000001,0,0,0,2.0,10500000.0
